alg,block_size,length,ber,trials,no_response,flips_trials,ok_true,ok_false,error_and_ok,error_and_rejected,noerror_and_ok,noerror_and_rejected,detection_rate,false_negative_rate,false_positive_rate,acceptance_rate,avg_ms,overhead_bytes,avg_overhead_ratio,elapsed_s
fletcher,8,5,0.0,1000,0,0,1000,0,0,0,1000,0,0.0,0.0,0.0,1.0,8.498811499996009,2,0.4,8.547261800000342
fletcher,8,5,0.001,1000,0,52,948,52,0,52,948,0,1.0,0.0,0.0,0.948,7.881663099986326,2,0.4,7.944293900000048
fletcher,8,5,0.01,1000,0,450,550,450,0,450,550,0,1.0,0.0,0.0,0.55,8.383304400027555,2,0.4,8.445895799999562
fletcher,8,5,0.05,1000,0,944,56,944,0,944,56,0,1.0,0.0,0.0,0.056,8.476511600010781,2,0.4,8.530050299999857
fletcher,8,11,0.0,1000,0,0,1000,0,0,0,1000,0,0.0,0.0,0.0,1.0,8.293523799997274,2,0.18181818181818182,8.351528099999996
fletcher,8,11,0.001,1000,0,101,899,101,0,101,899,0,1.0,0.0,0.0,0.899,7.520344999962617,2,0.18181818181818182,7.579539599999407
fletcher,8,11,0.01,1000,0,655,345,655,0,655,345,0,1.0,0.0,0.0,0.345,8.850311000000147,2,0.18181818181818182,8.92700700000023
fletcher,8,11,0.05,1000,0,995,6,994,1,994,5,0,0.9989949748743718,0.0010050251256281408,0.0,0.006,7.820632700031638,2,0.18181818181818182,7.88541449999866
fletcher,8,50,0.0,1000,0,0,1000,0,0,0,1000,0,0.0,0.0,0.0,1.0,8.438989399979619,2,0.04,8.52432410000074
fletcher,8,50,0.001,1000,0,346,654,346,0,346,654,0,1.0,0.0,0.0,0.654,8.990787400010959,2,0.04,9.148864600001616
fletcher,8,50,0.01,1000,0,986,14,986,0,986,14,0,1.0,0.0,0.0,0.014,9.138047999989794,2,0.04,9.284283299999515
fletcher,8,50,0.05,1000,0,1000,0,1000,0,1000,0,0,1.0,0.0,0.0,0.0,8.883158700034983,2,0.04,9.029895899999246
fletcher,16,5,0.0,1000,0,0,1000,0,0,0,1000,0,0.0,0.0,0.0,1.0,8.588183600004413,4,0.8,8.631922799999302
fletcher,16,5,0.001,1000,0,84,916,84,0,84,916,0,1.0,0.0,0.0,0.916,9.468845200053693,4,0.8,9.524045000000115
fletcher,16,5,0.01,1000,0,560,440,560,0,560,440,0,1.0,0.0,0.0,0.44,9.334231999986514,4,0.8,9.390164500000537
fletcher,16,5,0.05,1000,0,976,24,976,0,976,24,0,1.0,0.0,0.0,0.024,9.749266999997417,4,0.8,9.821492499999295
fletcher,16,11,0.0,1000,0,0,1000,0,0,0,1000,0,0.0,0.0,0.0,1.0,9.60786489997372,4,0.36363636363636365,9.658527499999764
fletcher,16,11,0.001,1000,0,115,885,115,0,115,885,0,1.0,0.0,0.0,0.885,9.768246399999043,4,0.36363636363636365,9.833423800000674
fletcher,16,11,0.01,1000,0,707,293,707,0,707,293,0,1.0,0.0,0.0,0.293,9.692801300034262,4,0.36363636363636365,9.759903000000122
fletcher,16,11,0.05,1000,0,998,2,998,0,998,2,0,1.0,0.0,0.0,0.002,8.73095960003775,4,0.36363636363636365,8.811439199998858
fletcher,16,50,0.0,1000,0,0,1000,0,0,0,1000,0,0.0,0.0,0.0,1.0,9.029899400014983,4,0.08,9.118693500000518
fletcher,16,50,0.001,1000,0,351,649,351,0,351,649,0,1.0,0.0,0.0,0.649,8.523852800039094,4,0.08,8.655539299999873
fletcher,16,50,0.01,1000,0,986,14,986,0,986,14,0,1.0,0.0,0.0,0.014,8.8365353999543,4,0.08,8.980058500001178
fletcher,16,50,0.05,1000,0,1000,0,1000,0,1000,0,0,1.0,0.0,0.0,0.0,7.862381499986441,4,0.08,8.02539809999871
fletcher,32,5,0.0,1000,0,0,1000,0,0,0,1000,0,0.0,0.0,0.0,1.0,6.672219799989762,8,1.6,6.715552600000592
fletcher,32,5,0.001,1000,0,112,888,112,0,112,888,0,1.0,0.0,0.0,0.888,6.803030299966849,8,1.6,6.8603798000003735
fletcher,32,5,0.01,1000,0,669,332,668,1,668,331,0,0.9985052316890882,0.0014947683109118087,0.0,0.332,8.702017599984174,8,1.6,8.788603400000284
fletcher,32,5,0.05,1000,0,994,6,994,0,994,6,0,1.0,0.0,0.0,0.006,8.475618800002849,8,1.6,8.545703499999945
fletcher,32,11,0.0,1000,0,0,1000,0,0,0,1000,0,0.0,0.0,0.0,1.0,7.741705899996305,8,0.7272727272727273,7.801756800001385
fletcher,32,11,0.001,1000,0,142,858,142,0,142,858,0,1.0,0.0,0.0,0.858,7.0331267999845295,8,0.7272727272727273,7.11849550000079
fletcher,32,11,0.01,1000,0,801,199,801,0,801,199,0,1.0,0.0,0.0,0.199,7.549516900027811,8,0.7272727272727273,7.637326400001257
fletcher,32,11,0.05,1000,0,999,1,999,0,999,1,0,1.0,0.0,0.0,0.001,7.697480199944039,8,0.7272727272727273,7.790203099999417
fletcher,32,50,0.0,1000,0,0,1000,0,0,0,1000,0,0.0,0.0,0.0,1.0,7.733094200026244,8,0.16,7.837898400000995
fletcher,32,50,0.001,1000,0,368,632,368,0,368,632,0,1.0,0.0,0.0,0.632,8.212129899986394,8,0.16,8.3969548999994
fletcher,32,50,0.01,1000,0,994,6,994,0,994,6,0,1.0,0.0,0.0,0.006,8.241726600062975,8,0.16,8.429518599999938
fletcher,32,50,0.05,1000,0,1000,0,1000,0,1000,0,0,1.0,0.0,0.0,0.0,6.958420800003296,8,0.16,7.155460699999821
